City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
64,Uyemskiy,-21.2,-175.2,300.24,83,75,2.57,TO,2022-03-11 01:17:29
65,Uyemskiy,60.7167,-46.0333,254.19,87,1,1.93,GL,2022-03-11 01:17:29
66,Uyemskiy,42.097,-79.2353,272.6,55,100,0.89,US,2022-03-11 01:15:24
67,Uyemskiy,35.7178,52.065,280.69,81,100,2.26,IR,2022-03-11 01:17:30
68,Uyemskiy,22.6906,58.5334,294.48,45,0,1.49,OM,2022-03-11 01:17:31
69,Uyemskiy,42.0156,121.6589,279.89,22,0,4.03,CN,2022-03-11 01:17:31
70,Uyemskiy,32.6667,-17.1,291.52,76,87,2.6,PT,2022-03-11 01:17:32
71,Uyemskiy,-45.5752,-72.0662,286.49,82,75,1.54,CL,2022-03-11 01:15:08
72,Uyemskiy,70.6333,147.9167,249.72,98,100,2.85,RU,2022-03-11 01:17:33
73,Uyemskiy,-19.55,169.2667,302.46,69,15,2.86,VU,2022-03-11 01:17:33
74,Uyemskiy,5.768,20.6757,299.72,57,99,1.5,CF,2022-03-11 01:17:34
75,Uyemskiy,42.1584,-72.3287,275.9,76,75,0.0,US,2022-03-11 01:17:34
76,Uyemskiy,22.0752,-159.319,300.64,69,20,4.63,US,2022-03-11 01:17:35
77,Uyemskiy,47.6469,53.3463,271.45,95,100,4.69,KZ,2022-03-11 01:17:36
78,Uyemskiy,68.0531,39.5131,271.74,96,100,7.53,RU,2022-03-11 01:17:36
79,Uyemskiy,4.2833,21.0167,297.03,85,100,2.19,CD,2022-03-11 01:17:37
80,Uyemskiy,3.0707,172.7902,300.38,81,89,6.87,KI,2022-03-11 01:17:37
81,Uyemskiy,8.9,40.7833,290.75,42,100,2.69,ET,2022-03-11 01:17:38
82,Uyemskiy,5.4112,100.3354,301.11,83,20,1.54,MY,2022-03-11 01:13:08
83,Uyemskiy,-5.5569,-80.8222,297.69,69,100,6.8,PE,2022-03-11 01:17:39
84,Uyemskiy,10.9333,108.1,299.53,62,61,1.27,VN,2022-03-11 01:17:39
85,Uyemskiy,59.7035,30.7861,269.1,86,27,3.32,RU,2022-03-11 01:17:40
86,Uyemskiy,46.7833,22.1333,269.29,51,0,2.84,RO,2022-03-11 01:17:40
87,Uyemskiy,32.2163,-80.7526,291.47,92,100,4.12,US,2022-03-11 01:13:02
88,Uyemskiy,77.484,-69.3632,251.23,80,100,0.86,GL,2022-03-11 01:17:41
89,Uyemskiy,44.6453,-63.5724,274.94,93,100,5.14,CA,2022-03-11 01:15:17
90,Uyemskiy,-8.5833,116.1167,302.6,73,21,2.77,ID,2022-03-11 01:17:43
91,Uyemskiy,64.75,177.4833,266.43,62,0,6.0,RU,2022-03-11 01:17:44
92,Uyemskiy,46.4333,26.4,266.66,87,98,3.88,RO,2022-03-11 01:17:44
93,Uyemskiy,37.7966,12.4352,276.12,87,0,3.6,IT,2022-03-11 01:17:45
94,Uyemskiy,59.7,150.1667,269.83,69,100,2.88,RU,2022-03-11 01:17:45
95,Uyemskiy,-24.7911,-50.0119,291.67,96,100,0.75,BR,2022-03-11 01:17:46
96,Uyemskiy,-23.7,133.8833,302.71,20,0,5.14,AU,2022-03-11 01:18:46
97,Uyemskiy,64.5011,-165.4064,269.19,59,0,14.92,US,2022-03-11 01:18:47
98,Uyemskiy,61.4732,-6.8119,280.01,77,84,12.88,FO,2022-03-11 01:18:48
