City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
152,Provideniya,64.3833,-173.3,257.74,64,1,2.6,RU,2022-03-18 22:57:57,clear sky
153,Magdeburg,52.1667,11.6667,279.33,81,15,1.34,DE,2022-03-18 22:57:58,few clouds
154,Wanganui,-39.9333,175.05,293.48,48,13,2.68,NZ,2022-03-18 22:57:59,few clouds
155,Moindou,-21.6924,165.677,300.79,72,76,1.39,NC,2022-03-18 22:57:59,broken clouds
156,Sola,-13.8833,167.55,298.7,83,100,2.94,VU,2022-03-18 22:58:00,moderate rain
157,Kottūru,14.8167,76.2167,295.17,84,97,3.08,IN,2022-03-18 22:58:00,overcast clouds
158,Dengzhou,37.8086,120.7508,273.36,68,100,12.75,CN,2022-03-18 22:58:01,overcast clouds
159,Bandarbeyla,9.4942,50.8122,298.01,73,3,6.22,SO,2022-03-18 22:58:01,clear sky
160,Mozarlândia,-14.7447,-50.5706,298.07,83,74,1.28,BR,2022-03-18 22:58:02,broken clouds
161,Mayumba,-3.432,10.6554,299.37,88,98,3.63,GA,2022-03-18 22:58:02,light rain
162,Sarai Naurang,32.8259,70.7814,297.0,45,16,2.96,PK,2022-03-18 22:58:03,few clouds
163,Kavieng,-2.5744,150.7967,302.7,64,48,6.8,PG,2022-03-18 22:58:05,scattered clouds
164,Leh,34.1667,77.5833,265.87,71,6,0.89,IN,2022-03-18 22:58:06,clear sky
165,Homer,59.6425,-151.5483,275.95,71,100,5.36,US,2022-03-18 22:58:06,overcast clouds
166,Iqaluit,63.7506,-68.5145,250.0,70,100,1.54,CA,2022-03-18 22:58:04,overcast clouds
167,Lorengau,-2.0226,147.2712,302.84,68,40,5.41,PG,2022-03-18 22:58:07,scattered clouds
168,Ilulissat,69.2167,-51.1,255.15,98,100,3.54,GL,2022-03-18 22:58:08,overcast clouds
169,Saanen,46.4896,7.2596,278.58,92,90,2.27,CH,2022-03-18 22:58:09,overcast clouds
170,Mumford,5.2618,-0.759,300.56,87,46,5.61,GH,2022-03-18 22:58:09,scattered clouds
171,Ajdabiya,30.7554,20.2263,288.45,52,97,12.61,LY,2022-03-18 22:58:10,overcast clouds
172,Svilajnac,44.2337,21.1967,274.35,57,3,0.85,RS,2022-03-18 22:58:10,clear sky
173,Ponta do Sol,32.6667,-17.1,289.29,70,100,0.75,PT,2022-03-18 22:52:15,overcast clouds
174,Longyearbyen,78.2186,15.6401,271.06,93,100,8.23,SJ,2022-03-18 22:58:11,light snow
175,Iquique,-20.2208,-70.1431,294.17,84,25,2.41,CL,2022-03-18 22:58:12,scattered clouds
176,Geraldton,-28.7667,114.6,293.38,88,97,4.63,AU,2022-03-18 22:58:12,overcast clouds
177,Viçosa,-20.7539,-42.8819,294.36,83,17,1.38,BR,2022-03-18 22:58:13,few clouds
178,Horasan,40.0458,42.1728,266.66,96,100,1.61,TR,2022-03-18 22:58:14,light snow
179,Upernavik,72.7868,-56.1549,243.42,74,70,3.38,GL,2022-03-18 22:52:00,broken clouds
180,Saint-Philippe,-21.3585,55.7679,297.92,89,58,1.81,RE,2022-03-18 22:54:05,broken clouds
181,Ancud,-41.8697,-73.8203,284.94,70,100,2.19,CL,2022-03-18 22:53:21,overcast clouds
182,Margate,51.3813,1.3862,283.32,82,5,2.24,GB,2022-03-18 22:55:11,clear sky
183,Nome,64.5011,-165.4064,254.1,83,42,2.91,US,2022-03-18 22:58:16,scattered clouds
184,Forsytheganj,52.6333,29.7333,270.16,61,1,1.24,BY,2022-03-18 22:58:16,clear sky
185,Logroño,42.4667,-2.45,280.05,93,0,0.0,ES,2022-03-18 22:59:17,clear sky
186,Dakar,14.6937,-17.4441,293.64,88,0,4.12,SN,2022-03-18 22:59:18,clear sky
187,Hīt,33.6416,42.8251,284.68,34,5,2.48,IQ,2022-03-18 22:59:19,clear sky
188,Zhoucheng,35.9122,116.3117,273.82,75,89,5.62,CN,2022-03-18 22:59:19,overcast clouds
189,Belaya Gora,68.5333,146.4167,248.23,97,93,1.0,RU,2022-03-18 22:59:20,overcast clouds
190,Bullhead City,35.1478,-114.5683,302.51,8,0,3.58,US,2022-03-18 22:58:37,clear sky
191,Evensk,61.95,159.2333,257.78,73,1,1.89,RU,2022-03-18 22:59:22,clear sky
192,Krasnogorskoye,52.2953,86.1979,253.9,100,99,0.99,RU,2022-03-18 22:59:23,overcast clouds
193,Artyom,40.4723,50.333,277.23,81,86,10.0,AZ,2022-03-18 22:59:23,overcast clouds
194,Sakakah,29.9697,40.2064,284.91,36,0,1.43,SA,2022-03-18 22:59:24,clear sky
195,Dingle,10.9995,122.6711,299.39,82,95,2.44,PH,2022-03-18 22:59:25,overcast clouds
196,Arraial do Cabo,-22.9661,-42.0278,299.13,83,0,6.69,BR,2022-03-18 22:59:25,clear sky
197,Chengde,40.9725,117.9361,262.29,92,24,1.92,CN,2022-03-18 22:59:26,few clouds
198,Charters Towers,-20.1,146.2667,299.06,61,67,5.33,AU,2022-03-18 22:59:26,broken clouds
199,Grindavik,63.8424,-22.4338,274.12,80,0,2.06,IS,2022-03-18 22:59:27,clear sky
200,Salalah,17.0151,54.0924,296.13,23,0,7.95,OM,2022-03-18 22:53:34,clear sky
201,Santa Cruz de la Sierra,-17.8,-63.1667,303.85,58,75,5.66,BO,2022-03-18 22:55:10,broken clouds
202,Port-Gentil,-0.7193,8.7815,300.75,81,96,5.61,GA,2022-03-18 22:59:28,light rain
203,Beberibe,-4.1797,-38.1306,298.79,86,33,3.92,BR,2022-03-18 22:59:28,scattered clouds
204,Norman Wells,65.282,-126.8329,261.17,61,40,3.09,CA,2022-03-18 22:59:29,scattered clouds
205,Castro,-24.7911,-50.0119,292.67,92,100,1.42,BR,2022-03-18 22:59:30,moderate rain
206,San Patricio,28.017,-97.5169,300.2,27,1,5.88,US,2022-03-18 22:59:30,clear sky
207,Saint-Augustin,51.226,-58.6502,273.16,87,100,3.62,CA,2022-03-18 22:59:31,overcast clouds
208,Yellowknife,62.456,-114.3525,269.49,79,75,2.57,CA,2022-03-18 22:53:29,light snow
209,Palu,-0.8917,119.8707,298.01,92,97,0.66,ID,2022-03-18 22:59:32,overcast clouds
210,San Jose,37.3394,-121.895,297.98,40,0,4.63,US,2022-03-18 22:59:32,clear sky
211,Nikolskoye,59.7035,30.7861,275.09,93,5,1.88,RU,2022-03-18 22:53:30,clear sky
212,Salinas,36.6777,-121.6555,298.46,63,55,3.57,US,2022-03-18 22:59:33,broken clouds
213,Marsá Maţrūḩ,31.3525,27.2453,286.26,67,40,6.17,EG,2022-03-18 22:59:34,scattered clouds
214,Quatre Cocos,-20.2078,57.7625,298.76,85,77,1.6,MU,2022-03-18 22:59:34,broken clouds
215,Havøysund,70.9963,24.6622,276.49,80,62,16.39,NO,2022-03-18 22:59:35,light rain
216,Tamandaré,-8.7597,-35.1047,299.51,74,89,4.02,BR,2022-03-18 22:59:36,overcast clouds
217,Panabá,21.2833,-88.2667,306.08,41,11,7.77,MX,2022-03-18 22:59:36,few clouds
218,Belyy Yar,53.6039,91.3903,258.09,80,0,2.0,RU,2022-03-18 22:59:37,clear sky
219,Ambilobe,-13.2,49.05,297.46,96,99,0.6,MG,2022-03-18 22:59:38,light rain
220,Spirit River,55.7833,-118.8361,276.39,55,16,2.45,CA,2022-03-18 22:59:38,few clouds
221,Lebu,-37.6167,-73.65,286.63,70,97,7.5,CL,2022-03-18 22:48:12,overcast clouds
222,Dudinka,69.4058,86.1778,266.83,97,99,3.79,RU,2022-03-18 22:59:39,overcast clouds
223,Kitob,39.0843,66.8332,278.32,84,99,1.0,UZ,2022-03-18 22:59:40,overcast clouds
224,Guaraniaçu,-25.1008,-52.8781,292.48,100,97,1.81,BR,2022-03-18 22:59:41,overcast clouds
225,Carballo,43.213,-8.691,285.85,89,6,1.84,ES,2022-03-18 22:59:41,clear sky
